year,category,prize,motivation,prize_share,laureate_id,laureate_type,full_name,birth_date,birth_city,birth_country,n_birth_country,sex,organization_name,organization_city,organization_country,death_date,death_city,death_country,n_death_country,religion
1946,Chemistry,The Nobel Prize in Chemistry 1946,"""for his discovery that enzymes can be crystallized""",1.פבר׳,204,Individual,James Batcheller Sumner,1887-11-19,"Canton, MA",United States of America,United States of America,Male,Cornell University,"Ithaca, NY",United States of America,12.8.1955,"Buffalo, NY",United States of America,United States of America,
1946,Chemistry,The Nobel Prize in Chemistry 1946,"""for their preparation of enzymes and virus proteins in a pure form""",1.אפר׳,205,Individual,John Howard Northrop,1891-07-05,"Yonkers, NY",United States of America,United States of America,Male,Rockefeller Institute for Medical Research,"Princeton, NJ",United States of America,27.5.1987,"Wickenberg, AZ",United States of America,United States of America,
1947,Chemistry,The Nobel Prize in Chemistry 1947,"""for his investigations on plant products of biological importance, especially the alkaloids""",1.ינו׳,207,Individual,Sir Robert Robinson,1886-09-13,"Rufford, near Chesterfield",United Kingdom,United Kingdom,Male,University of Oxford,Oxford,United Kingdom,8.2.1975,Great Missenden,United Kingdom,United Kingdom,
1948,Chemistry,The Nobel Prize in Chemistry 1948,"""for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins""",1.ינו׳,208,Individual,Arne Wilhelm Kaurin Tiselius,10.8.1902,Stockholm,Sweden,Sweden,Male,Uppsala University,Uppsala,Sweden,29.10.1971,Uppsala,Sweden,Sweden,
1949,Chemistry,The Nobel Prize in Chemistry 1949,"""for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures""",1.ינו׳,209,Individual,William Francis Giauque,1895-05-12,Niagara Falls,Canada,Canada,Male,University of California,"Berkeley, CA",United States of America,28.3.1982,"Berkeley, CA",United States of America,United States of America,
1950,Chemistry,The Nobel Prize in Chemistry 1950,"""for their discovery and development of the diene synthesis""",1.פבר׳,210,Individual,Otto Paul Hermann Diels,1876-01-23,Hamburg,Germany,Germany,Male,Kiel University,Kiel,Federal Republic of Germany,7.3.1954,Kiel,West Germany (Germany),Germany,
1950,Chemistry,The Nobel Prize in Chemistry 1950,"""for their discovery and development of the diene synthesis""",1.פבר׳,211,Individual,Kurt Alder,10.7.1902,Königshütte (Chorzów),Prussia (Poland),Poland,Male,Cologne University,Cologne,Federal Republic of Germany,20.6.1958,Cologne,West Germany (Germany),Germany,
1951,Chemistry,The Nobel Prize in Chemistry 1951,"""for their discoveries in the chemistry of the transuranium elements""",1.פבר׳,212,Individual,Edwin Mattison McMillan,18.9.1907,"Redondo Beach, CA",United States of America,United States of America,Male,University of California,"Berkeley, CA",United States of America,7.9.1991,"El Cerrito, CA",United States of America,United States of America,
1951,Chemistry,The Nobel Prize in Chemistry 1951,"""for their discoveries in the chemistry of the transuranium elements""",1.פבר׳,213,Individual,Glenn Theodore Seaborg,19.4.1912,"Ishpeming, MI",United States of America,United States of America,Male,University of California,"Berkeley, CA",United States of America,25.2.1999,"Lafayette, CA",United States of America,United States of America,
1952,Chemistry,The Nobel Prize in Chemistry 1952,"""for their invention of partition chromatography""",1.פבר׳,214,Individual,Archer John Porter Martin,1.3.1910,London,United Kingdom,United Kingdom,Male,National Institute for Medical Research,London,United Kingdom,28.7.2002,Llangarron,United Kingdom,United Kingdom,
1952,Chemistry,The Nobel Prize in Chemistry 1952,"""for their invention of partition chromatography""",1.פבר׳,215,Individual,Richard Laurence Millington Synge,28.10.1914,Liverpool,United Kingdom,United Kingdom,Male,Rowett Research Institute,Bucksburn (Scotland),United Kingdom,18.8.1994,Norwich,United Kingdom,United Kingdom,
1953,Chemistry,The Nobel Prize in Chemistry 1953,"""for his discoveries in the field of macromolecular chemistry""",1.ינו׳,216,Individual,Hermann Staudinger,1881-03-23,Worms,Germany,Germany,Male,University of Freiburg,Breisgau,Federal Republic of Germany,8.9.1965,Freiburg im Breisgau,West Germany (Germany),Germany,
1954,Chemistry,The Nobel Prize in Chemistry 1954,"""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances""",1.ינו׳,217,Individual,Linus Carl Pauling,28.2.1901,"Portland, OR",United States of America,United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,19.8.1994,"Big Sur, CA",United States of America,United States of America,
1955,Chemistry,The Nobel Prize in Chemistry 1955,"""for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone""",1.ינו׳,218,Individual,Vincent du Vigneaud,18.5.1901,"Chicago, IL",United States of America,United States of America,Male,Cornell University,"Ithaca, NY",United States of America,11.12.1978,"White Plains, NY",United States of America,United States of America,
1956,Chemistry,The Nobel Prize in Chemistry 1956,"""for their researches into the mechanism of chemical reactions""",1.פבר׳,220,Individual,Nikolay Nikolaevich Semenov,1896-04-03,Saratov,Russia,Russia,Male,Institute for Chemical Physics of the Academy of Sciences of the USSR,Moscow,Union of Soviet Socialist Republics,25.9.1986,Moscow,Union of Soviet Socialist Republics,Russia,
1956,Chemistry,The Nobel Prize in Chemistry 1956,"""for their researches into the mechanism of chemical reactions""",1.פבר׳,219,Individual,Sir Cyril Norman Hinshelwood,1897-05-19,London,United Kingdom,United Kingdom,Male,University of Oxford,Oxford,United Kingdom,9.10.1967,London,United Kingdom,United Kingdom,
1957,Chemistry,The Nobel Prize in Chemistry 1957,"""for his work on nucleotides and nucleotide co-enzymes""",1.ינו׳,221,Individual,Lord (Alexander R.) Todd,2.10.1907,Glasgow,Scotland,Scotland,Male,University of Cambridge,Cambridge,United Kingdom,10.1.1997,Cambridge,United Kingdom,United Kingdom,
1958,Chemistry,The Nobel Prize in Chemistry 1958,"""for his work on the structure of proteins, especially that of insulin""",1.ינו׳,222,Individual,Frederick Sanger,13.8.1918,Rendcombe,United Kingdom,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,19.11.2013,Cambridge,United Kingdom,United Kingdom,
1959,Chemistry,The Nobel Prize in Chemistry 1959,"""for his discovery and development of the polarographic methods of analysis""",1.ינו׳,223,Individual,Jaroslav Heyrovsky,1890-12-20,Prague,Austria-Hungary (Czech Republic),Czech Republic,Male,Polarographic Institute of the Czechoslovak Academy of Science,Prague,Czechoslovakia,27.3.1967,Prague,Czechoslovakia,Czechoslovakia,
1960,Chemistry,The Nobel Prize in Chemistry 1960,"""for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science""",1.ינו׳,224,Individual,Willard Frank Libby,17.12.1908,"Grand Valley, CO",United States of America,United States of America,Male,University of California,"Los Angeles, CA",United States of America,8.9.1980,"Los Angeles, CA",United States of America,United States of America,
1961,Chemistry,The Nobel Prize in Chemistry 1961,"""for his research on the carbon dioxide assimilation in plants""",1.ינו׳,225,Individual,Melvin Calvin,8.4.1911,"St. Paul, MN",United States of America,United States of America,Male,University of California,"Berkeley, CA",United States of America,8.1.1997,"Berkeley, CA",United States of America,United States of America,
1962,Chemistry,The Nobel Prize in Chemistry 1962,"""for their studies of the structures of globular proteins""",1.פבר׳,226,Individual,Max Ferdinand Perutz,19.5.1914,Vienna,Austria,Austria,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,6.2.2002,Cambridge,United Kingdom,United Kingdom,
1962,Chemistry,The Nobel Prize in Chemistry 1962,"""for their studies of the structures of globular proteins""",1.פבר׳,227,Individual,John Cowdery Kendrew,24.3.1917,Oxford,United Kingdom,United Kingdom,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,23.8.1997,Cambridge,United Kingdom,United Kingdom,
1963,Chemistry,The Nobel Prize in Chemistry 1963,"""for their discoveries in the field of the chemistry and technology of high polymers""",1.פבר׳,229,Individual,Giulio Natta,26.2.1903,Imperia,Italy,Italy,Male,Institute of Technology,Milan,Italy,2.5.1979,Bergamo,Italy,Italy,
1963,Chemistry,The Nobel Prize in Chemistry 1963,"""for their discoveries in the field of the chemistry and technology of high polymers""",1.פבר׳,228,Individual,Karl Ziegler,1898-11-26,Helsa,Germany,Germany,Male,Max-Planck-Institut für Kohlenforschung (Max-Planck-Institute for Carbon Research),Mülheim/Ruhr,Federal Republic of Germany,12.8.1973,Mülheim,West Germany (Germany),Germany,
1964,Chemistry,The Nobel Prize in Chemistry 1964,"""for her determinations by X-ray techniques of the structures of important biochemical substances""",1.ינו׳,230,Individual,Dorothy Crowfoot Hodgkin,12.5.1910,Cairo,Egypt,Egypt,Female,"University of Oxford, Royal Society",Oxford,United Kingdom,29.7.1994,Shipston-on-Stour,United Kingdom,United Kingdom,
1965,Chemistry,The Nobel Prize in Chemistry 1965,"""for his outstanding achievements in the art of organic synthesis""",1.ינו׳,231,Individual,Robert Burns Woodward,10.4.1917,"Boston, MA",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America,8.7.1979,"Cambridge, MA",United States of America,United States of America,
1966,Chemistry,The Nobel Prize in Chemistry 1966,"""for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method""",1.ינו׳,232,Individual,Robert S. Mulliken,1896-06-07,"Newburyport, MA",United States of America,United States of America,Male,University of Chicago,"Chicago, IL",United States of America,31.10.1986,"Arlington, VA",United States of America,United States of America,
1967,Chemistry,The Nobel Prize in Chemistry 1967,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",1.פבר׳,233,Individual,Manfred Eigen,9.5.1927,Bochum,Germany,Germany,Male,Max-Planck-Institut für Physikalische Chemie,Göttingen,Federal Republic of Germany,NA,NA,NA,NA,
1967,Chemistry,The Nobel Prize in Chemistry 1967,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",1.אפר׳,234,Individual,Ronald George Wreyford Norrish,1897-11-09,Cambridge,United Kingdom,United Kingdom,Male,Institute of Physical Chemistry,Cambridge,United Kingdom,7.6.1978,Cambridge,United Kingdom,United Kingdom,
1967,Chemistry,The Nobel Prize in Chemistry 1967,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",1.אפר׳,235,Individual,George Porter,6.12.1920,Stainforth,United Kingdom,United Kingdom,Male,Royal Institution of Great Britain,London,United Kingdom,31.8.2002,Canterbury,United Kingdom,United Kingdom,
1968,Chemistry,The Nobel Prize in Chemistry 1968,"""for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes""",1.ינו׳,236,Individual,Lars Onsager,27.11.1903,Kristiania (Oslo),Norway,Norway,Male,Yale University,"New Haven, CT",United States of America,5.10.1976,"Coral Gables, FL",United States of America,United States of America,
1969,Chemistry,The Nobel Prize in Chemistry 1969,"""for their contributions to the development of the concept of conformation and its application in chemistry""",1.פבר׳,238,Individual,Odd Hassel,1897-05-17,Kristiania (Oslo),Norway,Norway,Male,University of Oslo,Oslo,Norway,11.5.1981,Oslo,Norway,Norway,
1969,Chemistry,The Nobel Prize in Chemistry 1969,"""for their contributions to the development of the concept of conformation and its application in chemistry""",1.פבר׳,237,Individual,Derek H. R. Barton,8.9.1918,Gravesend,United Kingdom,United Kingdom,Male,Imperial College,London,United Kingdom,16.3.1998,"College Station, TX",United States of America,United States of America,
1970,Chemistry,The Nobel Prize in Chemistry 1970,"""for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates""",1.ינו׳,239,Individual,Luis F. Leloir,6.9.1906,Paris,France,France,Male,Institute for Biochemical Research,Buenos Aires,Argentina,2.12.1987,Buenos Aires,Argentina,Argentina,
1971,Chemistry,The Nobel Prize in Chemistry 1971,"""for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals""",1.ינו׳,240,Individual,Gerhard Herzberg,25.12.1904,Hamburg,Germany,Germany,Male,National Research Council of Canada,Ottawa,Canada,3.3.1999,Ottawa,Canada,Canada,
1972,Chemistry,The Nobel Prize in Chemistry 1972,"""for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation""",1.פבר׳,241,Individual,Christian B. Anfinsen,26.3.1916,"Monessen, PA",United States of America,United States of America,Male,National Institutes of Health,"Bethesda, MD",United States of America,14.5.1995,"Randallstown, MD",United States of America,United States of America,
1972,Chemistry,The Nobel Prize in Chemistry 1972,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""",1.אפר׳,242,Individual,Stanford Moore,4.9.1913,"Chicago, IL",United States of America,United States of America,Male,Rockefeller University,"New York, NY",United States of America,23.8.1982,"New York, NY",United States of America,United States of America,
1972,Chemistry,The Nobel Prize in Chemistry 1972,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""",1.אפר׳,243,Individual,William H. Stein,25.6.1911,"New York, NY",United States of America,United States of America,Male,Rockefeller University,"New York, NY",United States of America,2.2.1980,"New York, NY",United States of America,United States of America,
1973,Chemistry,The Nobel Prize in Chemistry 1973,"""for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds""",1.פבר׳,244,Individual,Ernst Otto Fischer,10.11.1918,Munich,Germany,Germany,Male,Technical University,Munich,Federal Republic of Germany,23.7.2007,Munich,Germany,Germany,
1973,Chemistry,The Nobel Prize in Chemistry 1973,"""for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds""",1.פבר׳,245,Individual,Geoffrey Wilkinson,14.7.1921,Todmorden,United Kingdom,United Kingdom,Male,Imperial College,London,United Kingdom,26.9.1996,London,United Kingdom,United Kingdom,
